mass, num_gal
PatImagesMcorSD__yx_,K0010
PatImagesMcorSD__yx_,K0014
PatImagesMcorSD__yx_,K0023
PatImagesMcorSD__yx_,K0027
PatImagesMcorSD__yx_,K0035
PatImagesMcorSD__yx_,K0047
PatImagesMcorSD__yx_,K0602
PatImagesMcorSD__yx_,K0607
