gal,tipo,hu1,hu2,hu3,hu4,hu5,hu6,hu7
K0037,S0a,0.396314953223,0.0660346336491,0.000376823138601,0.00493336802598,-7.61958095025e-08,0.000377479669259,-1.27487327548e-06
K0038,Sa,0.184889353266,0.00341472057821,0.000123122353266,6.33288560209e-05,5.4075419658e-11,1.04656823566e-07,5.69841035448e-12
K0039,Scd,0.253045142397,0.0367014770363,0.000652112766224,0.00150139684626,1.38075890576e-07,5.64896028903e-05,1.4899314921e-07
K0040,Scd,0.281228104964,0.050002405963,9.27879777861e-05,8.41740946433e-05,2.40721682676e-09,3.10963488173e-06,7.32046302141e-09
K0041,Sbc,0.271035379813,0.046863177624,0.00514992729345,0.00345330271243,-1.38597834732e-07,5.92029780368e-05,4.82867659007e-07
K0042,Sbc,0.17565852673,0.00274613379035,0.000155628988492,6.20489062547e-05,1.51769209839e-12,-4.55015586434e-08,1.13511613901e-11
K0043,Sb,0.178299271043,0.00357365448824,0.000537846707194,7.31384996446e-05,-8.31808675792e-09,-1.05321251249e-06,3.76720177362e-09
K0044,E5,0.217598631435,0.000143986416959,0.000319524576284,0.000259091792791,-5.19014322074e-08,-6.35523906997e-07,-1.67257459285e-08
K0045,Scd,0.174363605116,0.00395792851656,0.000368841440737,0.00019349305844,-6.63890648407e-09,3.03820091006e-07,-1.66309366621e-09
K0046,S0,0.288153519945,0.0222616533822,0.0013452748127,0.00196712984684,-4.17072789109e-08,5.17884949653e-05,9.36208953839e-08
K0047,S0,0.264870170327,0.00609699246919,0.00170530076839,0.000205799135678,-1.33889245398e-07,-1.18256674799e-05,-7.27850064688e-08
K0049,Sa,0.193124038926,0.0109660860584,0.000172684847709,8.49190229523e-05,-1.2179486861e-08,-6.9471947007e-06,4.02119566558e-10
K0050,S0,0.259507856983,0.0121673554783,0.000311509652667,0.00152547733682,-8.28182823636e-08,5.2482854935e-05,-9.75341063859e-08
K0051,E4,0.258534299911,0.000485303076828,0.00101646110386,0.000331422797218,-3.92780428558e-08,-7.57805152369e-07,-6.56795397158e-09
K0052,Sbc,0.174977034964,0.00466767968359,9.77686865295e-05,0.000262913798791,3.96072791307e-09,3.93633199417e-06,4.69530916179e-10
K0053,Sc,0.235703102856,0.0298441636111,0.000730164271657,0.00051524191263,8.70919043691e-12,2.43921135975e-05,4.89700560301e-08
K0059,S0a,0.295909561008,0.00696286921348,0.0011366897617,0.000942695455493,2.12549384248e-07,2.53404428303e-05,4.09407148176e-08
K0061,Sa,0.168482777881,0.000435430702619,0.000215358385642,6.25461235879e-05,-3.59021447629e-09,-3.74806117022e-07,3.05033737671e-10
K0068,E1,0.236263328737,0.000246246595581,0.000400567835241,0.000326992559969,-1.71344668422e-09,5.88289810875e-07,5.36181483694e-09
K0069,Scd,0.177869996028,0.00420453251678,0.000439775773675,0.000209549010896,-6.66662041801e-09,1.42369512435e-07,-1.07182554092e-09
K0070,Sb,0.271188163709,0.0470823255656,0.000390538628646,0.00116753266252,1.0744505852e-07,7.10126641543e-05,-4.56553345162e-08
K0071,Sc,0.202639929805,0.0138383651551,0.00010213430096,8.80580207794e-06,-4.84353947803e-10,-1.50737929657e-06,8.40317330772e-10
K0072,S0,0.209255420586,0.000228907385876,0.000309355946758,0.000557393734889,-1.26059011944e-07,-2.04275314281e-06,-1.24466321041e-08
K0073,Sb,0.160495245933,6.24769422159e-06,0.00020665891847,0.000131149840152,6.64286648187e-11,-1.83433744057e-08,3.82474099565e-10
K0076,E5,0.292124285244,0.00313262419771,0.00217649971108,0.000117746970543,1.58699750736e-07,4.36817424244e-06,2.73659997927e-07
K0077,Sa,0.197217076701,0.00917048523687,0.00109350106687,0.000436227796891,-1.56923367827e-08,4.5496348196e-06,1.31887761336e-09
K0078,Sa,0.191054298926,0.00574964289998,0.00139583559276,0.000823508074105,3.09558679062e-08,1.99592681046e-05,4.80859072961e-08
K0081,Sc,0.20430881224,0.0148674657498,0.000284275405295,0.000173680564228,-1.09063515566e-08,-2.47897257391e-06,-1.42324601647e-09
K0087,S0a,0.160956965973,1.00021679174e-05,0.000135711322265,5.32847820543e-05,-1.38264509723e-09,-1.65446892756e-08,-5.47600331245e-10
K0088,Sbc,0.281721740813,0.0528751474466,0.000815440137843,0.0012428128047,-1.44587583799e-07,-1.5240833245e-06,6.59671638507e-08
K0100,Sa,0.161452819935,0.000334276474025,0.000203427848045,8.64326031072e-05,-6.74914954232e-10,-7.68342035902e-08,-9.41714842052e-11
K0101,E3,0.195872969672,8.24383413059e-05,1.8394791171e-05,0.000203078731797,-4.86780310044e-09,-1.08289727396e-06,-3.01183207826e-09
K0103,S0a,0.31255313418,0.0332889707865,0.00454543650684,0.00557867640174,-5.24992722176e-07,8.26029188275e-06,2.57001763264e-06
K0108,Sbc,0.171990316075,0.001621051764,0.000662952465047,0.000504461011593,1.04227692422e-09,-1.28321237363e-06,7.43015243277e-09
K0115,Sb,0.183077833518,0.0071686150648,0.000194608865989,0.00046284182912,1.37295288753e-08,7.46423978509e-06,2.29148269528e-10
K0119,S0,0.176174824407,0.000129023164009,0.000322398065331,0.000149342745454,-7.14695994987e-09,2.59968853054e-07,-2.15782014333e-09
K0127,E6,0.166633841611,0.000311910176629,0.000508398689958,0.000191135015757,-2.09399829805e-09,2.36865253381e-07,3.33613451945e-10
K0131,Sab,0.226100857299,0.018545117425,2.37267694117e-06,0.00109870273448,-2.30082416777e-08,3.64657099466e-05,-9.32482093352e-09
K0134,S0a,0.177040794195,0.00493514737798,0.000456959086854,0.000221122812987,-1.75897659612e-09,5.2486485125e-07,2.14485006128e-09
K0135,Sa,0.234002053585,0.0238225986072,0.00363378080886,0.00237225914611,-1.77216134228e-07,-7.74294578791e-06,2.37280482317e-07
K0141,Sc,0.405570189173,0.136574862941,0.00305037623994,0.0159569543962,-8.54179789103e-06,0.00185936973844,-1.03071647383e-05
K0143,Scd,0.207677,0.016360294009,5.4776486465e-05,1.2270349865e-05,2.43492415218e-10,2.01147112252e-06,7.93564683169e-10
K0144,Scd,0.244364420668,0.0305119768948,0.00118967270006,0.000324176678467,-1.73219793169e-11,1.27809808925e-07,-2.04087459427e-11
K0147,Sbc,0.160468664162,0.000204727646541,0.000328986620982,0.00021425645867,-9.56996623764e-10,-2.786969945e-07,1.17367478424e-09
K0149,Sbc,0.166790644038,0.00209098319985,1.15060347475e-05,3.41479880255e-05,-9.94203756858e-12,-9.49889266953e-07,-2.65724345432e-10
K0150,Sd,0.272298502669,0.0476679578982,0.00214847946721,0.00201638334526,-1.32140324596e-07,6.76780381097e-05,1.26479958609e-07
K0151,Sb,0.198938044318,0.0121446899407,0.000243568558665,0.000242619167426,-7.05461648885e-10,3.47936202194e-06,2.41432076039e-09
K0152,Sbc,0.189821021347,0.00963185955574,0.00132052157826,0.00140481453148,-1.28886986905e-08,-1.76612075313e-05,8.15315168616e-08
K0153,Sb,0.296486561605,0.0617821017807,0.00150996062825,0.00134267427318,-1.82203755874e-08,-4.23603271864e-05,7.95250869232e-08
K0156,Sab,0.204137272913,0.0114158378731,0.000124820095522,0.000420684616122,1.46405332695e-08,-7.12238868699e-06,-1.26823998993e-08
K0157,Sc,0.224351520397,0.0227620334215,0.00144061054238,0.00149248015963,-5.85921760542e-08,3.01541765873e-05,4.94911242205e-08
K0159,Sc,0.267196361465,0.0420145770864,0.00123652722713,0.000151597536711,-4.09177335188e-09,-7.75589258479e-07,-1.75627837813e-09
K0161,Sdm,0.21661738541,0.0169617113561,0.000237810313618,1.10925720013e-05,-2.06669737094e-09,-2.08594894701e-06,9.81012652312e-10
K0165,Sbc,0.207312261136,0.0158748441563,0.000100205526801,6.26937734539e-05,-2.24344578782e-10,5.00631497979e-07,4.36829547188e-11
K0171,E2,0.233024763814,0.00023544028012,0.00468469011408,0.000779205041976,-4.33192751037e-08,-6.08521427288e-08,2.31494922194e-08
K0186,Sab,0.265474706605,0.0432974205168,0.000585793378271,0.0003416890814,-3.29566318276e-08,1.65252718678e-05,2.25337884566e-08
K0219,Sa,0.174403840878,0.00199770036809,0.00104463948813,0.000643125312094,-3.04286395499e-08,-2.25369837548e-06,-3.66829209588e-09
K0231,Sdm,0.289913643597,0.0560277127336,0.00121959482596,0.00225009819232,1.89319038743e-07,8.65124267881e-05,-2.64975680437e-07
